Time (UTC),CH4 (ppb)
01.01.2024 00:00:00,2013.01
01.01.2024 01:00:00,2013.19
01.01.2024 02:00:00,2014.06
01.01.2024 03:00:00,2013.61
01.01.2024 04:00:00,2014.31
01.01.2024 05:00:00,2015.18
01.01.2024 06:00:00,2017.16
01.01.2024 07:00:00,2016.7
01.01.2024 08:00:00,2014.98
01.01.2024 09:00:00,2012.05
01.01.2024 10:00:00,2012.26
01.01.2024 11:00:00,2014.5
01.01.2024 12:00:00,2012.76
01.01.2024 13:00:00,2007.5
01.01.2024 14:00:00,1999.12
01.01.2024 15:00:00,2000.61
01.01.2024 16:00:00,2004.17
01.01.2024 17:00:00,2002.05
01.01.2024 18:00:00,1994.53
01.01.2024 19:00:00,2000.86
01.01.2024 20:00:00,2005.13
01.01.2024 21:00:00,2002.13
01.01.2024 22:00:00,2000.96
01.01.2024 23:00:00,1999.83
02.01.2024 00:00:00,1999.91
02.01.2024 01:00:00,2001.67
02.01.2024 02:00:00,-999.99
02.01.2024 03:00:00,-999.99
02.01.2024 04:00:00,-999.99
02.01.2024 05:00:00,-999.99
02.01.2024 06:00:00,1994.64
02.01.2024 07:00:00,1990.37
02.01.2024 08:00:00,1989.07
02.01.2024 09:00:00,1988.02
02.01.2024 10:00:00,1986.24
02.01.2024 11:00:00,1986.84
02.01.2024 12:00:00,1984.66
02.01.2024 13:00:00,1982.44
02.01.2024 14:00:00,1980.23
02.01.2024 15:00:00,1978.85
02.01.2024 16:00:00,1976.39
02.01.2024 17:00:00,-999.99
02.01.2024 18:00:00,1972.93
02.01.2024 19:00:00,1975.16
02.01.2024 20:00:00,1978.73
02.01.2024 21:00:00,1983.23
02.01.2024 22:00:00,1983.72
02.01.2024 23:00:00,1988.06
03.01.2024 00:00:00,1990.59
03.01.2024 01:00:00,1989.3
03.01.2024 02:00:00,1988.65
03.01.2024 03:00:00,1988.69
03.01.2024 04:00:00,1990.42
03.01.2024 05:00:00,1986.84
03.01.2024 06:00:00,1985.91
03.01.2024 07:00:00,1991.07
03.01.2024 08:00:00,1996.1
03.01.2024 09:00:00,1997.12
03.01.2024 10:00:00,1994.84
03.01.2024 11:00:00,1989.52
03.01.2024 12:00:00,1987.7
03.01.2024 13:00:00,1984.11
03.01.2024 14:00:00,1982.98
03.01.2024 15:00:00,1988.65
03.01.2024 16:00:00,1990.79
03.01.2024 17:00:00,1993.42
03.01.2024 18:00:00,1996.33
03.01.2024 19:00:00,1998.9
03.01.2024 20:00:00,1999.74
03.01.2024 21:00:00,2001.01
03.01.2024 22:00:00,2002.11
03.01.2024 23:00:00,2002.19
04.01.2024 00:00:00,2001.5
04.01.2024 01:00:00,2001.69
04.01.2024 02:00:00,2000.65
04.01.2024 03:00:00,1999.56
04.01.2024 04:00:00,1997.99
04.01.2024 05:00:00,1996.62
04.01.2024 06:00:00,2000.62
04.01.2024 07:00:00,2001.98
04.01.2024 08:00:00,2001.26
04.01.2024 09:00:00,1998.58
04.01.2024 10:00:00,1992.94
04.01.2024 11:00:00,1992.8
04.01.2024 12:00:00,1985.92
04.01.2024 13:00:00,1990.02
04.01.2024 14:00:00,1988.82
04.01.2024 15:00:00,1984.63
04.01.2024 16:00:00,1985.4
04.01.2024 17:00:00,1995.17
04.01.2024 18:00:00,2002.43
04.01.2024 19:00:00,2002.59
04.01.2024 20:00:00,2002.21
04.01.2024 21:00:00,2000.36
04.01.2024 22:00:00,1999.99
04.01.2024 23:00:00,1998.84
05.01.2024 00:00:00,1996.93
05.01.2024 01:00:00,1995.07
05.01.2024 02:00:00,1994.37
05.01.2024 03:00:00,1990.04
05.01.2024 04:00:00,1991
05.01.2024 05:00:00,1988.12
05.01.2024 06:00:00,1988.92
05.01.2024 07:00:00,1992.46
05.01.2024 08:00:00,1994.26
05.01.2024 09:00:00,1997.94
05.01.2024 10:00:00,2002.81
05.01.2024 11:00:00,2007.59
05.01.2024 12:00:00,2005.36
05.01.2024 13:00:00,2004.11
05.01.2024 14:00:00,2006.76
05.01.2024 15:00:00,2008.19
05.01.2024 16:00:00,2009.59
05.01.2024 17:00:00,2058.82
05.01.2024 18:00:00,2098.44
05.01.2024 19:00:00,2078.4
05.01.2024 20:00:00,2054.43
05.01.2024 21:00:00,2046.8
05.01.2024 22:00:00,2040.58
05.01.2024 23:00:00,2030.06
06.01.2024 00:00:00,2032.6
06.01.2024 01:00:00,2034.97
06.01.2024 02:00:00,2021.69
06.01.2024 03:00:00,2027.17
06.01.2024 04:00:00,2041.45
06.01.2024 05:00:00,2045.18
06.01.2024 06:00:00,2044.17
06.01.2024 07:00:00,2047.94
06.01.2024 08:00:00,2042.71
06.01.2024 09:00:00,2040.86
06.01.2024 10:00:00,2044.8
06.01.2024 11:00:00,2046.6
06.01.2024 12:00:00,2045.85
06.01.2024 13:00:00,2043.42
06.01.2024 14:00:00,2042.83
06.01.2024 15:00:00,2046
06.01.2024 16:00:00,2052.85
06.01.2024 17:00:00,2052.61
06.01.2024 18:00:00,2050.99
06.01.2024 19:00:00,2049.7
06.01.2024 20:00:00,2050.54
06.01.2024 21:00:00,2048.06
06.01.2024 22:00:00,2047.57
06.01.2024 23:00:00,2051.42
07.01.2024 00:00:00,2065.74
07.01.2024 01:00:00,2059.99
07.01.2024 02:00:00,2051.27
07.01.2024 03:00:00,2035.05
07.01.2024 04:00:00,2029.47
07.01.2024 05:00:00,2022.33
07.01.2024 06:00:00,2027.14
07.01.2024 07:00:00,2012.28
07.01.2024 08:00:00,2024.07
07.01.2024 09:00:00,2031.06
07.01.2024 10:00:00,2015.59
07.01.2024 11:00:00,2014.39
07.01.2024 12:00:00,2011.14
07.01.2024 13:00:00,2023.24
07.01.2024 14:00:00,2022.72
07.01.2024 15:00:00,2023.56
07.01.2024 16:00:00,2016.42
07.01.2024 17:00:00,2015.07
07.01.2024 18:00:00,2024.04
07.01.2024 19:00:00,2015.78
07.01.2024 20:00:00,2010.47
07.01.2024 21:00:00,2008.84
07.01.2024 22:00:00,2007.45
07.01.2024 23:00:00,2010.18
08.01.2024 00:00:00,2015.25
08.01.2024 01:00:00,2019.08
08.01.2024 02:00:00,2019.72
08.01.2024 03:00:00,2018.66
08.01.2024 04:00:00,2019.5
08.01.2024 05:00:00,2019.29
08.01.2024 06:00:00,2013.41
08.01.2024 07:00:00,2011.16
08.01.2024 08:00:00,2007.28
08.01.2024 09:00:00,1996.96
08.01.2024 10:00:00,1990.97
08.01.2024 11:00:00,1989.12
08.01.2024 12:00:00,1988.69
08.01.2024 13:00:00,1990.53
08.01.2024 14:00:00,1994.07
08.01.2024 15:00:00,1997.45
08.01.2024 16:00:00,1983.75
08.01.2024 17:00:00,1979.73
08.01.2024 18:00:00,1980.12
08.01.2024 19:00:00,1981.67
08.01.2024 20:00:00,1982.84
08.01.2024 21:00:00,1983.01
08.01.2024 22:00:00,1983.11
08.01.2024 23:00:00,1985.57
09.01.2024 00:00:00,1987.28
09.01.2024 01:00:00,1986.09
09.01.2024 02:00:00,1984.44
09.01.2024 03:00:00,1984.16
09.01.2024 04:00:00,1983.82
09.01.2024 05:00:00,1983.61
09.01.2024 06:00:00,1982.6
09.01.2024 07:00:00,1983.14
09.01.2024 08:00:00,1985.86
09.01.2024 09:00:00,1987.24
09.01.2024 10:00:00,1987.65
09.01.2024 11:00:00,1986.89
09.01.2024 12:00:00,1989.47
09.01.2024 13:00:00,1992.54
09.01.2024 14:00:00,1994.06
09.01.2024 15:00:00,2020.86
09.01.2024 16:00:00,2022.57
09.01.2024 17:00:00,2023.57
09.01.2024 18:00:00,2023.99
09.01.2024 19:00:00,2020.43
09.01.2024 20:00:00,2019.62
09.01.2024 21:00:00,2024.75
09.01.2024 22:00:00,2031.31
09.01.2024 23:00:00,2027.85
10.01.2024 00:00:00,2011.49
10.01.2024 01:00:00,2009.63
10.01.2024 02:00:00,2014.4
10.01.2024 03:00:00,2007.84
10.01.2024 04:00:00,2003.16
10.01.2024 05:00:00,2002.49
10.01.2024 06:00:00,2003.87
10.01.2024 07:00:00,2005.04
10.01.2024 08:00:00,2004.32
10.01.2024 09:00:00,2005.02
10.01.2024 10:00:00,2006.13
10.01.2024 11:00:00,2006.75
10.01.2024 12:00:00,2011.67
10.01.2024 13:00:00,2007.78
10.01.2024 14:00:00,1996.82
10.01.2024 15:00:00,1995.32
10.01.2024 16:00:00,1992.9
10.01.2024 17:00:00,1992.57
10.01.2024 18:00:00,1991.89
10.01.2024 19:00:00,1990.19
10.01.2024 20:00:00,1990.53
10.01.2024 21:00:00,1989.82
10.01.2024 22:00:00,1989.88
10.01.2024 23:00:00,1989.7
11.01.2024 00:00:00,1989.8
11.01.2024 01:00:00,1990.52
11.01.2024 02:00:00,1991.43
11.01.2024 03:00:00,1990.98
11.01.2024 04:00:00,1991.13
11.01.2024 05:00:00,1990.7
11.01.2024 06:00:00,1990.76
11.01.2024 07:00:00,1990.82
11.01.2024 08:00:00,1990.77
11.01.2024 09:00:00,1990.15
11.01.2024 10:00:00,1990.27
11.01.2024 11:00:00,1990.01
11.01.2024 12:00:00,1988.77
11.01.2024 13:00:00,1988.27
11.01.2024 14:00:00,1988.9
11.01.2024 15:00:00,1987.98
11.01.2024 16:00:00,1986.13
11.01.2024 17:00:00,-999.99
11.01.2024 18:00:00,-999.99
11.01.2024 19:00:00,-999.99
11.01.2024 20:00:00,-999.99
11.01.2024 21:00:00,1977.52
11.01.2024 22:00:00,1983.48
11.01.2024 23:00:00,1985.18
12.01.2024 00:00:00,1985.81
12.01.2024 01:00:00,1986.71
12.01.2024 02:00:00,1988.89
