"Time (UTC)","CO2"
2023-01-01 00:00:00,419.08
2023-01-01 01:00:00,419.229
2023-01-01 02:00:00,419.585
2023-01-01 03:00:00,419.742
2023-01-01 04:00:00,419.843
2023-01-01 05:00:00,419.854
2023-01-01 06:00:00,419.873
2023-01-01 07:00:00,419.975
2023-01-01 08:00:00,420.109
2023-01-01 09:00:00,420.245
2023-01-01 10:00:00,420.568
2023-01-01 11:00:00,420.468
2023-01-01 12:00:00,420.365
2023-01-01 13:00:00,420.258
2023-01-01 14:00:00,420.083
2023-01-01 15:00:00,419.825
2023-01-01 16:00:00,419.8
2023-01-01 17:00:00,419.765
2023-01-01 18:00:00,419.684
2023-01-01 19:00:00,419.7
2023-01-01 20:00:00,419.754
2023-01-01 21:00:00,419.761
2023-01-01 22:00:00,419.821
2023-01-01 23:00:00,419.887
2023-01-02 00:00:00,419.94
2023-01-02 01:00:00,419.922
2023-01-02 02:00:00,419.914
2023-01-02 03:00:00,419.872
2023-01-02 04:00:00,419.833
2023-01-02 05:00:00,419.819
2023-01-02 06:00:00,-999.99
2023-01-02 07:00:00,-999.99
2023-01-02 08:00:00,-999.99
2023-01-02 09:00:00,420.764
2023-01-02 10:00:00,420.392
2023-01-02 11:00:00,420.644
2023-01-02 12:00:00,420.378
2023-01-02 13:00:00,420.139
2023-01-02 14:00:00,420.345
2023-01-02 15:00:00,420.207
2023-01-02 16:00:00,420.133
2023-01-02 17:00:00,420.023
2023-01-02 18:00:00,419.967
2023-01-02 19:00:00,420.234
2023-01-02 20:00:00,420.269
2023-01-02 21:00:00,420.103
2023-01-02 22:00:00,420.119
2023-01-02 23:00:00,420.11
2023-01-03 00:00:00,420.217
2023-01-03 01:00:00,420.454
2023-01-03 02:00:00,420.433
2023-01-03 03:00:00,420.48
2023-01-03 04:00:00,420.303
2023-01-03 05:00:00,420.369
2023-01-03 06:00:00,420.68
2023-01-03 07:00:00,420.862
2023-01-03 08:00:00,420.756
2023-01-03 09:00:00,420.891
