Time (UTC+1),CO2 (ppm)
01.01.2024 00:00:00,426.744
01.01.2024 01:00:00,426.677
01.01.2024 02:00:00,426.77
01.01.2024 03:00:00,426.664
01.01.2024 04:00:00,426.63
01.01.2024 05:00:00,426.678
01.01.2024 06:00:00,426.709
01.01.2024 07:00:00,426.671
01.01.2024 08:00:00,426.499
01.01.2024 09:00:00,426.32
01.01.2024 10:00:00,426.363
01.01.2024 11:00:00,426.678
01.01.2024 12:00:00,426.579
01.01.2024 13:00:00,426.028
01.01.2024 14:00:00,425.259
01.01.2024 15:00:00,425.279
01.01.2024 16:00:00,425.553
01.01.2024 17:00:00,425.395
01.01.2024 18:00:00,424.854
01.01.2024 19:00:00,425.366
01.01.2024 20:00:00,425.685
01.01.2024 21:00:00,425.39
01.01.2024 22:00:00,425.349
01.01.2024 23:00:00,425.308
02.01.2024 00:00:00,425.501
02.01.2024 01:00:00,425.566
02.01.2024 02:00:00,-999.99
02.01.2024 03:00:00,-999.99
02.01.2024 04:00:00,-999.99
02.01.2024 05:00:00,-999.99
02.01.2024 06:00:00,424.756
02.01.2024 07:00:00,424.383
02.01.2024 08:00:00,424.145
02.01.2024 09:00:00,424.077
02.01.2024 10:00:00,423.987
02.01.2024 11:00:00,424.05
02.01.2024 12:00:00,423.946
02.01.2024 13:00:00,423.763
02.01.2024 14:00:00,423.666
02.01.2024 15:00:00,423.481
02.01.2024 16:00:00,423.397
02.01.2024 17:00:00,-999.99
02.01.2024 18:00:00,423.194
02.01.2024 19:00:00,423.286
02.01.2024 20:00:00,423.726
02.01.2024 21:00:00,424.177
02.01.2024 22:00:00,424.269
02.01.2024 23:00:00,424.642
03.01.2024 00:00:00,424.897
03.01.2024 01:00:00,424.812
03.01.2024 02:00:00,424.646
03.01.2024 03:00:00,424.573
03.01.2024 04:00:00,424.632
03.01.2024 05:00:00,424.287
03.01.2024 06:00:00,424.233
03.01.2024 07:00:00,424.78
03.01.2024 08:00:00,425.431
03.01.2024 09:00:00,425.682
03.01.2024 10:00:00,425.545
03.01.2024 11:00:00,424.912
03.01.2024 12:00:00,424.852
03.01.2024 13:00:00,424.45
03.01.2024 14:00:00,424.306
03.01.2024 15:00:00,424.845
03.01.2024 16:00:00,424.97
03.01.2024 17:00:00,424.98
03.01.2024 18:00:00,425.155
03.01.2024 19:00:00,425.593
03.01.2024 20:00:00,425.717
03.01.2024 21:00:00,426.004
03.01.2024 22:00:00,425.664
03.01.2024 23:00:00,425.602
04.01.2024 00:00:00,425.531
04.01.2024 01:00:00,425.579
04.01.2024 02:00:00,425.594
04.01.2024 03:00:00,425.574
04.01.2024 04:00:00,425.479
04.01.2024 05:00:00,425.385
04.01.2024 06:00:00,425.681
04.01.2024 07:00:00,425.898
04.01.2024 08:00:00,425.744
04.01.2024 09:00:00,425.468
04.01.2024 10:00:00,425.05
04.01.2024 11:00:00,425.107
04.01.2024 12:00:00,424.849
04.01.2024 13:00:00,425.078
04.01.2024 14:00:00,424.984
04.01.2024 15:00:00,424.566
04.01.2024 16:00:00,424.636
04.01.2024 17:00:00,425.855
04.01.2024 18:00:00,426.712
04.01.2024 19:00:00,426.648
04.01.2024 20:00:00,426.633
04.01.2024 21:00:00,426.411
04.01.2024 22:00:00,426.391
04.01.2024 23:00:00,426.252
05.01.2024 00:00:00,426.005
05.01.2024 01:00:00,425.776
05.01.2024 02:00:00,425.707
05.01.2024 03:00:00,425.229
05.01.2024 04:00:00,425.291
05.01.2024 05:00:00,425.036
05.01.2024 06:00:00,425.073
05.01.2024 07:00:00,425.333
05.01.2024 08:00:00,425.51
05.01.2024 09:00:00,425.808
05.01.2024 10:00:00,426.577
